crn,code,name,lecture_type,modality,credits,instructor,days,start_time,end_time,location,exam_type,seats,capacity
82027,BMES 5994,Research and Thesis,R,,1 TO 19,O Kim,(ARR),(ARR),TBA,00X,82028,1,9999
82028,BMES 5994,Research and Thesis,R,,1 TO 19,AE Staples,(ARR),(ARR),TBA,00X,82029,0,9999
82029,BMES 5994,Research and Thesis,R,,1 TO 19,R Gourdie,(ARR),(ARR),TBA,00X,82030,0,9999
82030,BMES 5994,Research and Thesis,R,,1 TO 19,S Poelzing,(ARR),(ARR),TBA,00X,82031,0,9999
82031,BMES 5994,Research and Thesis,R,,1 TO 19,RM Queen,(ARR),(ARR),TBA,00X,82032,2,9999
82032,BMES 5994,Research and Thesis,R,,1 TO 19,ZR Doerzaph,(ARR),(ARR),TBA,00X,82033,0,99
82033,BMES 5994,Research and Thesis,R,,1 TO 19,P VandeVord,(ARR),(ARR),TBA,00X,82034,2,9999
82034,BMES 5994,Research and Thesis,R,,1 TO 19,CD Untaroiu,(ARR),(ARR),TBA,00X,82035,1,9999
82035,BMES 5994,Research and Thesis,R,,1 TO 19,A Nain,(ARR),(ARR),TBA,00X,82036,0,999
82036,BMES 5994,Research and Thesis,R,,1 TO 19,TM Murali,(ARR),(ARR),TBA,00X,82037,1,9999
82037,BMES 5994,Research and Thesis,R,,1 TO 19,JM Munson,(ARR),(ARR),TBA,00X,82038,0,99
82038,BMES 5994,Research and Thesis,R,,1 TO 19,MA Stremler,(ARR),(ARR),TBA,00X,82039,0,999
82039,BMES 5994,Research and Thesis,R,,1 TO 19,S Rowson,(ARR),(ARR),TBA,00X,90687,2,9999
90687,BMES 6194,Advanced Movement Assessment,L,,3,RM Queen,T R,12:30PM,1:45PM,USLB 210,12T,6,20
82041,BMES 7994,Research and Dissertation,R,,1 TO 19,E Vlaisavljevich,(ARR),(ARR),TBA,00X,82042,7,9999
82042,BMES 7994,Research and Dissertation,R,,1 TO 19,S Vijayan,(ARR),(ARR),TBA,00X,82043,2,9999
82043,BMES 7994,Research and Dissertation,R,,1 TO 19,LM Roberts,(ARR),(ARR),TBA,00X,82044,2,999
82044,BMES 7994,Research and Dissertation,R,,1 TO 19,VM Wang,(ARR),(ARR),TBA,00X,82045,2,9999
82045,BMES 7994,Research and Dissertation,R,,1 TO 19,JM Munson,(ARR),(ARR),TBA,00X,82046,4,99
82046,BMES 7994,Research and Dissertation,R,,1 TO 19,RM Queen,(ARR),(ARR),TBA,00X,82047,3,999
82047,BMES 7994,Research and Dissertation,R,,1 TO 19,P VandeVord,(ARR),(ARR),TBA,00X,82048,6,9999
82048,BMES 7994,Research and Dissertation,R,,1 TO 19,ZR Doerzaph,(ARR),(ARR),TBA,00X,82049,1,99
82049,BMES 7994,Research and Dissertation,R,,1 TO 19,AE Staples,(ARR),(ARR),TBA,00X,82050,1,9999
82050,BMES 7994,Research and Dissertation,R,,1 TO 19,AR Whittington,(ARR),(ARR),TBA,00X,82051,0,9999
82051,BMES 7994,Research and Dissertation,R,,1 TO 19,JC Chappell,(ARR),(ARR),TBA,00X,82052,1,9999
82052,BMES 7994,Research and Dissertation,R,,1 TO 19,S Poelzing,(ARR),(ARR),TBA,00X,82053,0,9999
82053,BMES 7994,Research and Dissertation,R,,1 TO 19,SM LaConte,(ARR),(ARR),TBA,00X,82054,0,9999
82054,BMES 7994,Research and Dissertation,R,,1 TO 19,A Han,(ARR),(ARR),TBA,00X,82055,4,9999
82055,BMES 7994,Research and Dissertation,R,,1 TO 19,R De Vita,(ARR),(ARR),TBA,00X,82056,3,999
82056,BMES 7994,Research and Dissertation,R,,1 TO 19,R Gourdie,(ARR),(ARR),TBA,00X,82057,0,9999
82057,BMES 7994,Research and Dissertation,R,,1 TO 19,D Lee,(ARR),(ARR),TBA,00X,82058,1,9999
82058,BMES 7994,Research and Dissertation,R,,1 TO 19,C Lu,(ARR),(ARR),TBA,00X,82059,1,9999
82059,BMES 7994,Research and Dissertation,R,,1 TO 19,Z Tian,(ARR),(ARR),TBA,00X,82060,1,9999
82060,BMES 7994,Research and Dissertation,R,,1 TO 19,J Socha,(ARR),(ARR),TBA,00X,82061,0,9999
82061,BMES 7994,Research and Dissertation,R,,1 TO 19,SL Arena,(ARR),(ARR),TBA,00X,82062,0,9999
82062,BMES 7994,Research and Dissertation,R,,1 TO 19,CD Untaroiu,(ARR),(ARR),TBA,00X,82063,1,9999
82063,BMES 7994,Research and Dissertation,R,,1 TO 19,S Rowson,(ARR),(ARR),TBA,00X,82064,1,9999
82064,BMES 7994,Research and Dissertation,R,,1 TO 19,O Kim,(ARR),(ARR),TBA,00X,82065,1,9999
82065,BMES 7994,Research and Dissertation,R,,1 TO 19,DL Albert,(ARR),(ARR),TBA,00X,82066,1,9999
82066,BMES 7994,Research and Dissertation,R,,1 TO 19,BM Davy,(ARR),(ARR),TBA,00X,82067,1,9999
82067,BMES 7994,Research and Dissertation,R,,1 TO 19,A Nain,(ARR),(ARR),TBA,00X,82068,0,999
82068,BMES 7994,Research and Dissertation,R,,1 TO 19,MA Perez,(ARR),(ARR),TBA,00X,82069,1,9999
82069,BMES 7994,Research and Dissertation,R,,1 TO 19,A Korneva,(ARR),(ARR),TBA,00X,82070,1,9999
82070,BMES 7994,Research and Dissertation,R,,1 TO 19,CJ Collins,(ARR),(ARR),TBA,00X,82071,3,999
82071,BMES 7994,Research and Dissertation,R,,1 TO 19,B Behkam,(ARR),(ARR),TBA,00X,82072,0,9999
82072,BMES 7994,Research and Dissertation,R,,1 TO 19,Staff,(ARR),(ARR),TBA,00X,82073,0,9999
82073,BMES 7994,Research and Dissertation,R,,1 TO 19,MA Nussbaum,(ARR),(ARR),TBA,00X,82074,0,9999
82074,BMES 7994,Research and Dissertation,R,,1 TO 19,SM Duma,(ARR),(ARR),TBA,00X,82075,0,9999
82075,BMES 7994,Research and Dissertation,R,,1 TO 19,T Rikakis,(ARR),(ARR),TBA,00X,82076,0,9999
82076,BMES 7994,Research and Dissertation,R,,1 TO 19,MA Stremler,(ARR),(ARR),TBA,00X,82077,0,9999
82077,BMES 7994,Research and Dissertation,R,,1 TO 19,PR Montague,(ARR),(ARR),TBA,00X,92473,1,9999
92473,BMES 7994,Research and Dissertation,ONLINE COURSE   VR,Online: Asynchronous,1 TO 19,KM Mulvaney,(ARR),(ARR),ONLINE,00X,,0,0
